chapter no.	sentence index	character index	character	word segmentation index	aligned English word  index from character projection	aligned English word index from word projection	1st negation cue	1st negation scope	1st negation event	2nd negation cue	2nd negation scope	2nd negation event	3rd negation cue	3rd negation scope	3rd negation event	4th negation cue	4th negation scope	4th negation event	5th negation cue	5th negation scope	5th negation event
wisteria01	0	0	一	0	0	2	***														
wisteria01	0	1	约	1	6	0~~~1~~~2~~~3	***														
wisteria01	0	2	翰	1	6	0~~~1~~~2~~~3	***														
wisteria01	0	3	·	1		0~~~1~~~2~~~3	***														
wisteria01	0	4	斯	1	1	0~~~1~~~2~~~3	***														
wisteria01	0	5	考	1		0~~~1~~~2~~~3	***														
wisteria01	0	6	特	1	7	0~~~1~~~2~~~3	***														
wisteria01	0	7	·	1	2	0~~~1~~~2~~~3	***														
wisteria01	0	8	艾	1		0~~~1~~~2~~~3	***														
wisteria01	0	9	克	1		0~~~1~~~2~~~3	***														
wisteria01	0	10	尔	1		0~~~1~~~2~~~3	***														
wisteria01	0	11	斯	1		0~~~1~~~2~~~3	***														
wisteria01	0	12	先	2	5	5	***														
wisteria01	0	13	生	2	5	5	***														
wisteria01	0	14	的	3	4	4	***														
wisteria01	0	15	离	4	8	6~~~7~~~8	***														
wisteria01	0	16	奇	4	8	6~~~7~~~8	***														
wisteria01	0	17	经	5	3	8	***														
wisteria01	0	18	历	5		8	***														
																					
wisteria01	1	0	我	0	5	0	***														
wisteria01	1	1	从	1		2	***														
wisteria01	1	2	笔	2	6	6	***														
wisteria01	1	3	记	2		6	***														
wisteria01	1	4	本	2	2	6	***														
wisteria01	1	5	的	3	4	4	***														
wisteria01	1	6	记	4	3	3	***														
wisteria01	1	7	载	4	3	3	***														
wisteria01	1	8	里	5		4	***														
wisteria01	1	9	发	6	0	1	***														
wisteria01	1	10	现	6		1	***														
wisteria01	1	11	，	7	7~~~8	7	***														
wisteria01	1	12	那	8		8	***														
wisteria01	1	13	是	9	9	9~~~10	***														
wisteria01	1	14	一	10	10	11~~~13	***														
wisteria01	1	15	八	10		11~~~13	***														
wisteria01	1	16	九	10		11~~~13	***														
wisteria01	1	17	二	10		11~~~13	***														
wisteria01	1	18	年	10	22	11~~~13	***														
wisteria01	1	19	三	11		19	***														
wisteria01	1	20	月	11	19	19	***														
wisteria01	1	21	底	12	15~~~17	17	***														
wisteria01	1	22	之	13	14	17	***														
wisteria01	1	23	前	13	11	17	***														
wisteria01	1	24	的	14	16	15~~~16~~~18	***														
wisteria01	1	25	一	15			***														
wisteria01	1	26	个	16		22	***														
wisteria01	1	27	寒	17	13		***														
wisteria01	1	28	风	17	13		***														
wisteria01	1	29	凛	18	23	23	***														
wisteria01	1	30	冽	18	23	23	***														
wisteria01	1	31	的	19	20	20~~~21	***														
wisteria01	1	32	日	20		14	***														
wisteria01	1	33	子	20		14	***														
wisteria01	1	34	。	21	24	24	***														
																					
wisteria01	2	0	我	0	9	6	_	_	_												
wisteria01	2	1	们	0	6	6	_	_	_												
wisteria01	2	2	正	1		11	_	_	_												
wisteria01	2	3	坐	2	7	11	_	_	_												
wisteria01	2	4	着	2	3	11	_	_	_												
wisteria01	2	5	吃	3	11	10	_	_	_												
wisteria01	2	6	午	3	10	10	_	_	_												
wisteria01	2	7	饭	3	10	10	_	_	_												
wisteria01	2	8	，	4		3	_	_	_												
wisteria01	2	9	福	5	0	0	_	_	_												
wisteria01	2	10	尔	5	0	0	_	_	_												
wisteria01	2	11	摩	5	0	0	_	_	_												
wisteria01	2	12	斯	5	0	0	_	_	_												
wisteria01	2	13	接	6	2	2	_	_	_												
wisteria01	2	14	到	6	2	2	_	_	_												
wisteria01	2	15	了	7	1	1	_	_	_												
wisteria01	2	16	一	8	16		_	_	_												
wisteria01	2	17	份	9	4		_	_	_												
wisteria01	2	18	电	10	4	4	_	_	_												
wisteria01	2	19	报	10	4	4	_	_	_												
wisteria01	2	20	，	11			_	_	_												
wisteria01	2	21	并	12	12	12	_	_	_												
wisteria01	2	22	随	13		15	_	_	_												
wisteria01	2	23	手	13		15	_	_	_												
wisteria01	2	24	给	14			_	_	_												
